gugun,dong,population,movein,moveout,oneperson,twoperson,threeperson,fourperson,fiveperson,sixperson,sevenperson,eightperson,nineperson,tenperson
중랑구,신내1동,39831,3855,4818,3623,3610,3050,3194,929,171,45,13,2,2
중랑구,신내2동,21302,2514,3107,3022,2376,1870,1441,272,59,10,6,-,1
중랑구,면목본동,35424,5368,6063,8916,4093,2549,1739,387,66,21,4,2,1
중랑구,면목3.8동,25995,3899,4437,5911,3124,1935,1383,270,63,14,1,2,1
중랑구,망우본동,30784,4177,4397,7150,3388,2291,1670,409,71,16,3,1,1
중랑구,망우본동,30784,4177,4397,7150,3388,2291,1670,409,71,16,3,1,1
성북구,돈암1동,15379,1734,2266,1792,1659,1295,1077,245,59,9,1,2,1
성북구,돈암2동,24686,2970,3306,1729,1957,2157,2152,496,112,33,9,1,4
성북구,안암동,16580,3652,3930,6265,1378,830,638,124,27,4,1,-,2
성북구,보문동,16123,2541,3053,3749,1603,1216,900,210,31,8,3,1,1
성북구,정릉1동,18929,2572,2837,2211,1699,1664,1400,313,72,19,2,2,3
성북구,정릉2동,23736,3416,3448,3226,2470,1976,1648,346,92,33,5,1,1
성북구,정릉3동,16847,2746,2808,4207,1625,994,750,181,41,12,-,3,4
성북구,정릉4동,25993,2910,3676,3715,2726,2165,1706,406,90,20,10,1,1
성북구,길음1동,36568,4293,4860,2456,2488,3090,3617,708,118,29,7,1,5
성북구,길음2동,17167,2795,2287,2315,1520,1446,1286,275,57,9,2,1,-
성북구,월곡1동,27108,2885,3303,3267,2589,2250,2053,489,94,29,5,1,-
성북구,월곡2동,20396,3286,3267,4514,1986,1476,1194,278,71,10,10,4,2
성북구,장위1동,20449,2783,2848,3792,2523,1988,1681,384,75,22,4,2,-
성북구,장위2동,14106,2290,2092,2766,1693,1109,731,188,49,10,-,1,-
성북구,장위3동,17359,2487,2711,2175,1421,1479,1277,288,49,11,2,1,-
성북구,성북동,17404,2863,3017,3900,1825,1201,892,245,70,14,9,-,5
성북구,삼선동,24144,3386,5088,5791,2295,1586,1438,330,74,15,5,1,1
성북구,동선동,16246,3817,3620,6100,1484,931,622,165,37,10,3,-,1
성북구,종암동,41353,4744,5133,6493,3796,3179,2800,670,122,27,8,-,3
성북구,석관동,36483,4783,4681,7073,4095,2937,2031,466,89,24,6,1,1
성북구,석관동,36483,4783,4681,7073,4095,2937,2031,466,89,24,6,1,1
강북구,번1동,19441,3439,3543,5684,2227,1334,843,176,41,4,5,-,-
강북구,번2동,16544,1802,2264,3001,2121,1372,835,222,52,8,2,-,2
강북구,번3동,17605,1739,2245,2452,2236,1407,1084,258,62,7,1,1,-
강북구,수유1동,21468,2932,3236,4792,2484,1613,1074,289,59,18,3,2,4
강북구,수유2동,21595,2802,3054,3707,2586,1805,1237,329,61,14,7,1,2
강북구,수유3동,23907,4352,4411,7252,2655,1686,1008,243,46,9,5,2,1
강북구,삼양동,24742,3036,3770,4582,2760,1956,1416,392,67,14,8,3,1
강북구,미아동,22723,3890,3885,6256,2517,1602,1038,258,46,11,6,1,1
강북구,송중동,30934,4134,4304,5973,3274,2351,1791,416,87,23,5,1,4
강북구,송천동,27871,3436,4028,6453,3314,2051,1443,317,57,10,1,1,2
강북구,삼각산동,32118,3393,4202,2536,2530,2747,2924,595,122,25,11,-,-
강북구,우이동,21076,2871,3120,3681,2567,1662,1222,294,63,11,6,1,2
강북구,인수동,31545,3799,4594,5853,3787,2595,1674,426,106,26,1,1,2
강북구,인수동,31545,3799,4594,5853,3787,2595,1674,426,106,26,1,1,2
도봉구,쌍문1동,22016,2825,3104,3301,2447,1868,1349,367,73,18,7,1,1
도봉구,쌍문2동,19406,2628,3147,3174,2278,1579,1148,292,47,10,2,-,3
도봉구,쌍문3동,16922,2300,2585,3302,1956,1403,956,232,39,11,2,-,-
도봉구,쌍문4동,19297,2330,2790,1604,1740,1693,1698,317,48,12,2,-,-
도봉구,방학1동,29236,3810,4515,4764,3102,2303,1884,495,99,21,6,2,2
도봉구,방학2동,20473,2423,2988,3857,2421,1619,1105,299,56,15,2,2,-
도봉구,방학3동,27973,2955,3729,1875,2596,2492,2331,546,123,21,8,4,1
도봉구,창1동,25400,3107,3953,3829,2688,2151,1776,331,73,18,4,-,-
도봉구,창2동,29912,3430,4002,3999,3247,2623,1973,444,100,30,7,5,-
도봉구,창3동,14402,1749,2061,2631,1704,1163,812,209,30,17,3,1,-
도봉구,창4동,27286,3182,3761,3098,2532,2359,2220,425,87,15,10,1,-
도봉구,창5동,25308,3415,3902,3093,2527,2235,1854,393,84,20,5,3,-
도봉구,도봉1동,21810,2535,2897,4345,2798,1735,1063,275,60,20,4,2,1
도봉구,도봉2동,27920,3746,4458,4121,3184,2403,1707,418,92,26,3,3,-
도봉구,도봉2동,27920,3746,4458,4121,3184,2403,1707,418,92,26,3,3,-
노원구,월계1동,23085,3095,3819,4522,2249,1669,1430,359,55,11,3,-,-
노원구,월계2동,27615,3514,3130,4206,3185,2349,1767,375,80,14,4,1,1
노원구,월계3동,30790,3502,4321,4102,3572,2772,1935,439,94,16,6,3,1
노원구,공릉2동,40360,5279,6002,5865,3308,3181,3250,660,110,28,10,5,1
노원구,하계1동,27965,3221,4384,4281,2437,2099,2204,422,87,17,8,1,4
노원구,하계2동,22723,2384,2930,1801,1886,1966,2134,400,50,11,2,2,-
노원구,중계본동,24942,2840,3711,1934,1421,1878,2608,586,102,18,4,2,1
노원구,중계1동,27556,3795,4257,1405,1434,2353,3192,503,53,14,9,2,-
노원구,중계4동,20752,2605,3099,2699,1999,1659,1622,342,62,17,5,4,1
노원구,상계1동,39204,4277,5102,4629,3878,3283,2916,700,138,31,8,1,4
노원구,상계2동,20692,2958,3433,3325,1751,1630,1608,307,80,14,3,2,-
노원구,상계5동,24797,3151,3736,4082,2742,2065,1536,367,77,16,5,1,1
노원구,상계8동,22963,3074,4296,2493,2368,2203,1754,313,35,9,2,1,2
노원구,상계9동,21221,2730,3481,2253,2255,1956,1616,274,44,14,1,3,-
노원구,상계10동,17631,3586,2626,2036,2049,1705,1459,226,44,12,3,1,-
노원구,상계3.4동,27184,4577,3081,4782,3063,2130,1662,429,82,23,10,2,-
노원구,상계6.7동,33642,4457,5505,4423,3476,2934,2525,433,67,20,5,-,2
노원구,중계2.3동,35586,3607,4644,5225,4114,2988,2427,448,69,13,2,1,1
노원구,공릉1동,38324,5524,6150,8631,3819,2799,2323,491,115,20,4,3,1
노원구,공릉1동,38324,5524,6150,8631,3819,2799,2323,491,115,20,4,3,1
은평구,녹번동,37815,6116,6715,7273,4332,3121,2143,491,98,19,9,1,1
은평구,불광1동,40022,5580,6436,6759,4487,3355,2395,561,115,27,11,2,-
은평구,갈현1동,23396,2991,4031,4847,2700,1836,1279,289,55,16,3,1,-
은평구,갈현2동,29239,3947,4792,4636,3168,2439,1846,436,88,17,7,5,1
은평구,구산동,32997,4011,4672,4368,3281,2695,2129,550,111,32,6,1,5
은평구,대조동,27579,5116,5357,7603,3134,1943,1342,284,85,17,5,1,2
은평구,응암1동,31265,10055,4458,5651,3362,2477,1964,441,84,14,4,4,7
은평구,응암2동,27776,5655,3502,3175,2648,2579,2086,428,96,25,9,3,3
은평구,신사1동,27776,3916,4658,4023,3049,2379,1784,417,105,19,5,3,-
은평구,신사2동,20945,2649,3535,3228,2209,1725,1404,301,79,19,4,-,1
은평구,증산동,15487,2052,2699,2568,1747,1197,953,263,44,12,2,-,-
은평구,수색동,11258,3782,1453,1590,1251,940,750,192,49,8,1,-,-
은평구,진관동,57256,6414,7170,6369,4397,4233,4758,1395,336,56,15,3,4
은평구,불광2동,28740,3833,4567,6442,3409,2236,1430,361,77,19,8,1,-
은평구,응암3동,25553,3909,4307,6058,2980,1888,1266,308,68,17,9,-,1
은평구,역촌동,46939,6338,7813,7920,5176,3872,2883,673,161,41,10,1,-
은평구,역촌동,46939,6338,7813,7920,5176,3872,2883,673,161,41,10,1,-
서대문구,천연동,18049,2392,2993,3086,1803,1458,1156,241,45,13,3,1,2
서대문구,홍제1동,24604,3314,3693,3697,2493,2026,1645,394,75,20,6,1,1
서대문구,홍제3동,15983,1872,2253,2764,1738,1311,947,242,50,9,4,-,1
서대문구,홍제2동,14334,1896,2098,1824,1462,1263,1004,225,38,9,3,-,1
서대문구,홍은1동,23266,3629,3126,3215,2394,1912,1614,384,91,20,7,-,1
서대문구,홍은2동,27734,3739,4261,5008,2898,2160,1665,379,106,32,8,1,-
서대문구,남가좌1동,16141,2348,3122,1294,1218,1467,1373,298,64,16,2,1,-
서대문구,남가좌2동,30996,9173,4059,5065,2979,2472,2093,430,96,19,2,2,-
서대문구,북가좌1동,18557,2484,3077,1632,1736,1579,1525,352,79,15,4,2,-
서대문구,북가좌2동,32947,4208,5016,5782,3646,2620,2045,485,96,23,3,-,1
서대문구,충현동,21229,6232,3056,5164,2023,1448,1238,307,69,15,1,2,1
서대문구,북아현동,16956,2744,3299,2816,1660,1491,1104,209,37,8,-,2,-
서대문구,신촌동,23051,6412,5775,10347,1527,778,555,125,38,9,4,3,4
서대문구,연희동,39105,6061,7751,10113,3630,2446,1870,510,117,21,11,5,-
서대문구,연희동,39105,6061,7751,10113,3630,2446,1870,510,117,21,11,5,-
마포구,용강동,22257,3474,3645,3373,1954,1908,1589,345,74,21,5,2,-
마포구,대흥동,15863,5995,3132,5222,1449,857,690,145,25,4,1,1,2
마포구,염리동,12864,2259,2656,2705,1161,1015,867,152,23,10,2,-,1
마포구,신수동,23606,3743,3941,3857,2243,1913,1622,323,74,18,7,2,1
마포구,서교동,26981,6836,5664,9971,2620,1406,997,220,51,19,6,2,1
마포구,합정동,18576,3380,3763,5231,2052,1226,804,174,39,12,3,1,2
마포구,망원1동,21113,3196,3866,5050,2504,1422,1118,266,54,13,4,2,1
마포구,망원2동,19216,2711,2889,3322,2093,1459,1285,266,54,14,1,1,-
마포구,연남동,16682,3183,3418,5202,1717,972,643,189,33,11,4,2,1
마포구,성산1동,19679,3073,3470,4361,2128,1426,1065,272,66,16,6,7,-
마포구,성산2동,40669,5748,6656,8532,4014,3066,2615,558,123,19,10,1,1
마포구,상암동,31997,4081,4887,4332,2516,2413,2503,656,110,25,10,2,3
마포구,도화동,21998,2947,3558,3513,2042,1821,1491,350,79,19,3,2,2
마포구,서강동,25386,4155,4670,5605,2274,1986,1628,340,61,16,7,-,1
마포구,공덕동,38750,6271,7985,8697,3982,2878,2242,469,108,30,7,3,-
마포구,아현동,26221,5163,4467,3167,2426,2489,1941,334,69,23,2,3,1
마포구,아현동,26221,5163,4467,3167,2426,2489,1941,334,69,23,2,3,1
양천구,목1동,31727,4168,4542,1644,1868,2939,3315,570,111,32,5,3,1
양천구,목2동,30705,4722,5502,5005,3047,2450,2129,462,104,28,8,1,2
양천구,목3동,22643,3750,4290,3900,2496,1861,1418,294,69,23,5,-,1
양천구,목4동,26190,3319,3979,3174,1932,2088,2322,474,92,26,8,-,1
양천구,신월1동,21246,2573,3028,4576,2462,1713,1089,260,51,10,-,2,-
양천구,신월2동,21520,2745,3323,2556,2119,1800,1520,384,93,21,5,2,3
양천구,신월3동,15965,1934,2611,3972,1800,1102,757,228,43,7,2,-,3
양천구,신월4동,18487,2199,2735,1651,1725,1636,1454,345,93,12,3,1,-
양천구,신월5동,15189,1892,2278,2331,1559,1258,987,239,68,13,1,1,2
양천구,신월6동,13798,8550,1426,1174,1322,1266,1197,229,33,6,-,-,-
양천구,신월7동,20651,2401,3272,3352,2600,1770,1172,248,52,15,4,-,-
양천구,신정1동,21074,2590,3038,1394,1331,1682,2230,409,67,12,3,-,2
양천구,신정2동,20207,2447,2847,1558,1346,1561,2058,433,53,7,2,2,1
양천구,신정3동,46787,4793,6202,4922,4506,4147,4079,1020,189,28,9,1,1
양천구,신정6동,25038,3294,3575,1155,1620,2277,2672,444,86,12,8,5,1
양천구,신정7동,30075,3452,4238,3071,2718,2592,2557,455,81,22,8,-,-
양천구,목5동,42288,4659,5322,1743,2304,3703,4776,784,151,40,10,7,1
양천구,신정4동,34191,4593,5813,7243,3673,2599,1908,469,95,22,5,2,3
양천구,신정4동,34191,4593,5813,7243,3673,2599,1908,469,95,22,5,2,3
강서구,염창동,42017,5312,6105,4396,3268,3793,3838,669,117,28,6,-,-
강서구,등촌1동,24338,5836,5273,7615,2481,1668,1245,243,49,15,1,1,-
강서구,등촌2동,21216,3079,3763,2825,2100,1771,1450,351,93,25,3,2,-
강서구,등촌3동,31660,4042,4806,6384,3937,2461,1827,317,72,14,3,2,-
강서구,화곡본동,34981,5454,6398,7901,3827,2656,1950,478,75,26,8,3,1
강서구,화곡2동,18727,2565,3326,3021,2092,1587,1085,307,41,13,3,-,-
강서구,화곡3동,21938,2826,3564,3355,2291,1766,1438,361,92,13,4,3,-
강서구,화곡4동,21413,2768,3380,3932,2538,1736,1219,266,69,14,1,-,1
강서구,화곡6동,25133,4292,4239,5953,2641,1823,1464,308,74,19,3,4,2
강서구,화곡8동,25674,3619,4430,4791,3080,2091,1364,333,60,15,2,-,-
강서구,가양1동,34540,8801,8505,13168,2833,1999,1709,364,82,13,4,2,1
강서구,가양2동,14588,1904,2345,4257,2094,985,500,118,24,12,2,-,2
강서구,가양3동,15583,2075,2733,3462,2374,1284,586,138,28,6,1,-,-
강서구,발산1동,37530,4003,4994,2932,3092,3005,3386,793,137,33,6,3,-
강서구,공항동,27627,4036,4542,5814,2819,2200,1885,481,97,21,4,-,1
강서구,방화1동,44550,5672,6780,5097,4054,3598,3488,876,163,39,4,2,2
강서구,방화2동,23442,3379,3944,5711,2690,1730,1187,309,73,14,2,1,3
강서구,방화3동,23577,3165,4003,4889,2888,1828,1256,270,74,18,4,1,1
강서구,화곡1동,53380,8889,10132,13518,6308,4060,2436,578,122,37,12,3,2
강서구,우장산동,43987,5481,6311,3961,3360,3632,4104,819,146,24,16,3,2
강서구,우장산동,43987,5481,6311,3961,3360,3632,4104,819,146,24,16,3,2
구로구,신도림동,36494,4355,5194,3065,3103,3295,3161,588,130,33,6,6,-
구로구,구로1동,21632,2635,3114,2351,2025,1820,1765,343,54,17,5,1,-
구로구,구로3동,25722,4639,5123,7827,2341,1559,1156,279,55,17,3,1,-
구로구,구로4동,25031,3035,3606,5356,2526,1494,944,202,43,9,5,1,1
구로구,구로5동,32339,5160,5738,7459,3065,2164,1661,382,85,21,6,1,-
구로구,고척1동,23547,2955,3498,3130,2305,1824,1779,377,80,10,4,1,-
구로구,고척2동,27853,3101,4083,3962,2810,2278,1968,408,106,13,4,-,-
구로구,개봉2동,32218,4476,5269,3304,3487,2823,2239,527,123,33,8,2,1
구로구,개봉3동,21284,3154,3781,2774,2441,1802,1368,300,60,11,5,1,-
구로구,오류1동,23360,4192,4146,6315,2539,1636,1129,283,57,15,5,2,2
구로구,수궁동,24297,3159,3766,3065,2697,2084,1561,419,103,17,4,1,-
