gugun,dong,oneperson,twoperson,threeperson,fourperson,fiveperson,sixperson,sevenperson,eightperson,nineperson,tenperson
마포구,아현동,3167,2426,2489,1941,334,69,23,2,3,1
양천구,목1동,1644,1868,2939,3315,570,111,32,5,3,1
양천구,목2동,5005,3047,2450,2129,462,104,28,8,1,2
양천구,목3동,3900,2496,1861,1418,294,69,23,5,-,1
양천구,목4동,3174,1932,2088,2322,474,92,26,8,-,1
양천구,신월1동,4576,2462,1713,1089,260,51,10,-,2,-
양천구,신월2동,2556,2119,1800,1520,384,93,21,5,2,3
양천구,신월3동,3972,1800,1102,757,228,43,7,2,-,3
양천구,신월4동,1651,1725,1636,1454,345,93,12,3,1,-
양천구,신월5동,2331,1559,1258,987,239,68,13,1,1,2
양천구,신월6동,1174,1322,1266,1197,229,33,6,-,-,-
양천구,신월7동,3352,2600,1770,1172,248,52,15,4,-,-
양천구,신정1동,1394,1331,1682,2230,409,67,12,3,-,2
양천구,신정2동,1558,1346,1561,2058,433,53,7,2,2,1
양천구,신정3동,4922,4506,4147,4079,1020,189,28,9,1,1
양천구,신정6동,1155,1620,2277,2672,444,86,12,8,5,1
양천구,신정7동,3071,2718,2592,2557,455,81,22,8,-,-
양천구,목5동,1743,2304,3703,4776,784,151,40,10,7,1
양천구,신정4동,7243,3673,2599,1908,469,95,22,5,2,3
양천구,신정4동,7243,3673,2599,1908,469,95,22,5,2,3
강서구,염창동,4396,3268,3793,3838,669,117,28,6,-,-
강서구,등촌1동,7615,2481,1668,1245,243,49,15,1,1,-
강서구,등촌2동,2825,2100,1771,1450,351,93,25,3,2,-
강서구,등촌3동,6384,3937,2461,1827,317,72,14,3,2,-
강서구,화곡본동,7901,3827,2656,1950,478,75,26,8,3,1
강서구,화곡2동,3021,2092,1587,1085,307,41,13,3,-,-
강서구,화곡3동,3355,2291,1766,1438,361,92,13,4,3,-
강서구,화곡4동,3932,2538,1736,1219,266,69,14,1,-,1
강서구,화곡6동,5953,2641,1823,1464,308,74,19,3,4,2
강서구,화곡8동,4791,3080,2091,1364,333,60,15,2,-,-
강서구,가양1동,13168,2833,1999,1709,364,82,13,4,2,1
강서구,가양2동,4257,2094,985,500,118,24,12,2,-,2
강서구,가양3동,3462,2374,1284,586,138,28,6,1,-,-
강서구,발산1동,2932,3092,3005,3386,793,137,33,6,3,-
강서구,공항동,5814,2819,2200,1885,481,97,21,4,-,1
강서구,방화1동,5097,4054,3598,3488,876,163,39,4,2,2
강서구,방화2동,5711,2690,1730,1187,309,73,14,2,1,3
강서구,방화3동,4889,2888,1828,1256,270,74,18,4,1,1
