num,city,code,dongcode,gugun,dong,lat,lng
115,서울특별시,1114012800,11140,중구,남산동1가,37.5590091,126.9843958
116,서울특별시,1114012900,11140,중구,남산동2가,37.5590138,126.9861733
117,서울특별시,1114013000,11140,중구,남산동3가,37.5604891,126.9877701
118,서울특별시,1114013100,11140,중구,저동1가,37.5642948,126.9879413
119,서울특별시,1114013200,11140,중구,충무로4가,37.5622705,126.996153
120,서울특별시,1114013300,11140,중구,충무로5가,37.5633775,127.0003222
121,서울특별시,1114013400,11140,중구,인현동2가,37.5638519,126.9958793
122,서울특별시,1114013500,11140,중구,예관동,37.5644436,126.9985618
123,서울특별시,1114013600,11140,중구,묵정동,37.5611066,127.0006052
124,서울특별시,1114013700,11140,중구,필동1가,37.5609015,126.9924937
125,서울특별시,1114013800,11140,중구,필동2가,37.5598189,126.9946111
126,서울특별시,1114013900,11140,중구,필동3가,37.5604582,126.9974688
127,서울특별시,1114014000,11140,중구,남학동,37.5605396,126.9906837
128,서울특별시,1114014100,11140,중구,주자동,37.5605403,126.989477
129,서울특별시,1114014200,11140,중구,예장동,37.5551027,126.9896164
130,서울특별시,1114014300,11140,중구,장충동1가,37.5608027,127.0076024
131,서울특별시,1114014400,11140,중구,장충동2가,37.5553677,127.0021234
132,서울특별시,1114014500,11140,중구,광희동1가,37.5647643,127.0058331
133,서울특별시,1114014600,11140,중구,광희동2가,37.563762,127.0085234
134,서울특별시,1114014700,11140,중구,쌍림동,37.5635752,127.0043943
135,서울특별시,1114014800,11140,중구,을지로6가,37.5675139,127.0065887
136,서울특별시,1114014900,11140,중구,을지로7가,37.5661787,127.0097427
137,서울특별시,1114015000,11140,중구,을지로4가,37.5664649,126.9978028
138,서울특별시,1114015100,11140,중구,을지로5가,37.5664267,127.0025169
139,서울특별시,1114015200,11140,중구,주교동,37.5682819,126.9993778
140,서울특별시,1114015300,11140,중구,방산동,37.5688961,127.0028604
141,서울특별시,1114015400,11140,중구,오장동,37.5648174,127.0007109
142,서울특별시,1114015500,11140,중구,을지로3가,37.5661262,126.9916862
143,서울특별시,1114015600,11140,중구,입정동,37.5678759,126.9927989
144,서울특별시,1114015700,11140,중구,산림동,37.5675704,126.9958581
145,서울특별시,1114015800,11140,중구,충무로3가,37.5622214,126.9909515
146,서울특별시,1114015900,11140,중구,초동,37.564,126.992
147,서울특별시,1114016000,11140,중구,인현동1가,37.5640095,126.9940488
148,서울특별시,1114016100,11140,중구,저동2가,37.5641406,126.9897269
149,서울특별시,1114016200,11140,중구,신당동,37.5615738,127.0194523
150,서울특별시,1114016300,11140,중구,흥인동,37.5674439,127.0167756
151,서울특별시,1114016400,11140,중구,무학동,37.5643336,127.0153099
152,서울특별시,1114016500,11140,중구,황학동,37.5674517,127.0214099
153,서울특별시,1114016600,11140,중구,서소문동,37.5628953,126.97381
154,서울특별시,1114016700,11140,중구,정동,37.5665684,126.9728716
155,서울특별시,1114016800,11140,중구,순화동,37.5624639,126.9706122
156,서울특별시,1114016900,11140,중구,의주로1가,37.564763,126.9681904
157,서울특별시,1114017000,11140,중구,충정로1가,37.5665316,126.9681594
158,서울특별시,1114017100,11140,중구,중림동,37.55475819999999,126.9644988
159,서울특별시,1114017200,11140,중구,의주로2가,37.5607117,126.9697947
160,서울특별시,1114017300,11140,중구,만리동1가,37.55612,126.9676729
161,서울특별시,1114017400,11140,중구,만리동2가,37.5547643,126.964253
162,서울특별시,1117010100,11170,용산구,후암동,37.5498915,126.9814212
163,서울특별시,1117010200,11170,용산구,용산동2가,37.5407943,126.9835695
164,서울특별시,1117010300,11170,용산구,용산동4가,37.5308455,126.9842601
165,서울특별시,1117010400,11170,용산구,갈월동,37.5473301,126.9722574
166,서울특별시,1117010500,11170,용산구,남영동,37.5455655,126.9744151
167,서울특별시,1117010600,11170,용산구,용산동1가,37.5402895,126.9769997
168,서울특별시,1117010700,11170,용산구,동자동,37.5523409,126.972128
169,서울특별시,1117010800,11170,용산구,서계동,37.5524394,126.9658264
170,서울특별시,1117010900,11170,용산구,청파동1가,37.5489827,126.9670874
171,서울특별시,1117011000,11170,용산구,청파동2가,37.54585,126.9680402
172,서울특별시,1117011100,11170,용산구,청파동3가,37.5433425,126.9675767
173,서울특별시,1117011200,11170,용산구,원효로1가,37.5399325,126.9674607
174,서울특별시,1117011300,11170,용산구,원효로2가,37.53600369999999,126.9628655
175,서울특별시,1117011400,11170,용산구,신창동,37.53572339999999,126.9550278
176,서울특별시,1117011500,11170,용산구,산천동,37.5352218,126.9508826
177,서울특별시,1117011600,11170,용산구,청암동,37.5343891,126.9461605
178,서울특별시,1117011700,11170,용산구,원효로3가,37.5347545,126.95735
179,서울특별시,1117011800,11170,용산구,원효로4가,37.5323003,126.9504725
180,서울특별시,1117011900,11170,용산구,효창동,37.5417318,126.9613055
181,서울특별시,1117012000,11170,용산구,도원동,37.5383838,126.9554387
182,서울특별시,1117012100,11170,용산구,용문동,37.5383431,126.9584999
183,서울특별시,1117012200,11170,용산구,문배동,37.5370133,126.9696862
184,서울특별시,1117012300,11170,용산구,신계동,37.53528379999999,126.9666019
185,서울특별시,1117012400,11170,용산구,한강로1가,37.5375702,126.9730964
186,서울특별시,1117012500,11170,용산구,한강로2가,37.5316834,126.9696924
