gugun,dong,movein,moveout
강서구,우장산동,5481 ,6311 
구로구,신도림동,4355 ,5194 
구로구,구로1동,2635 ,3114 
구로구,구로3동,4639 ,5123 
구로구,구로4동,3035 ,3606 
구로구,구로5동,5160 ,5738 
구로구,고척1동,2955 ,3498 
구로구,고척2동,3101 ,4083 
구로구,개봉2동,4476 ,5269 
구로구,개봉3동,3154 ,3781 
구로구,오류1동,4192 ,4146 
구로구,수궁동,3159 ,3766 
구로구,가리봉동,1756 ,1801 
구로구,구로2동,2922 ,3688 
구로구,개봉1동,6497 ,4909 
구로구,오류2동,4055 ,4978 
구로구,항동,4794 ,1330 
구로구,항동,4794 ,1330 
금천구,가산동,7481 ,5448 
금천구,독산1동,8195 ,7664 
금천구,독산2동,2300 ,2676 
금천구,독산3동,3311 ,3918 
금천구,독산4동,1831 ,2274 
금천구,시흥1동,4576 ,5177 
금천구,시흥2동,2237 ,2791 
금천구,시흥3동,1320 ,1525 
금천구,시흥4동,2101 ,2665 
금천구,시흥5동,2401 ,2825 
금천구,시흥5동,2401 ,2825 
영등포구,여의동,4392 ,4550 
영등포구,당산1동,4147 ,4437 
영등포구,당산2동,8580 ,7035 
영등포구,양평1동,3752 ,4350 
영등포구,양평2동,3885 ,4182 
영등포구,신길1동,3550 ,3718 
영등포구,신길3동,2275 ,2720 
영등포구,신길4동,4546 ,1383 
영등포구,신길5동,3923 ,1801 
영등포구,신길6동,3510 ,3664 
영등포구,신길7동,7239 ,3927 
영등포구,대림1동,3987 ,2047 
영등포구,대림2동,1934 ,2284 
영등포구,대림3동,2704 ,3592 
영등포구,영등포본동,3240 ,3714 
영등포구,영등포동,8641 ,6973 
영등포구,도림동,3016 ,3453 
영등포구,문래동,5988 ,4696 
영등포구,문래동,5988 ,4696 
동작구,노량진2동,2342 ,2404 
동작구,상도1동,7521 ,8184 
동작구,상도2동,4219 ,5311 
동작구,상도3동,3785 ,4347 
동작구,상도4동,4033 ,4593 
동작구,사당1동,4810 ,5128 
동작구,사당3동,3894 ,4665 
동작구,사당4동,2503 ,2833 
동작구,사당5동,4271 ,2390 
동작구,대방동,5801 ,6722 
동작구,신대방1동,3390 ,3675 
동작구,신대방2동,3718 ,3979 
동작구,흑석동,4289 ,4697 
동작구,노량진1동,5875 ,6044 
동작구,사당2동,4045 ,4678 
동작구,사당2동,4045 ,4678 
관악구,보라매동,3924 ,4471 
관악구,청림동,2117 ,2709 
관악구,행운동,6732 ,6978 
관악구,낙성대동,5094 ,4968 
관악구,중앙동,3768 ,3836 
관악구,인헌동,4792 ,5353 
관악구,남현동,3875 ,4292 
관악구,서원동,5748 ,6086 
관악구,신원동,3840 ,4028 
관악구,서림동,5697 ,5551 
관악구,신사동,5116 ,5204 
관악구,신림동,7469 ,7273 
관악구,난향동,1703 ,2155 
관악구,조원동,3915 ,3906 
관악구,대학동,6280 ,6120 
관악구,은천동,5221 ,5887 
관악구,성현동,3517 ,4198 
관악구,청룡동,10457 ,8420 
관악구,난곡동,3124 ,3875 
관악구,삼성동,2112 ,3276 
관악구,미성동,3800 ,4640 
관악구,미성동,3800 ,4640 
서초구,서초1동,3845 ,4244 
서초구,서초2동,6649 ,3718 
서초구,서초3동,7197 ,5866 
서초구,서초4동,4019 ,4280 
서초구,잠원동,3949 ,10560 
서초구,반포본동,1921 ,2111 
서초구,반포1동,5336 ,5982 
서초구,반포2동,1868 ,2045 
서초구,반포3동,5072 ,3133 
서초구,반포4동,2914 ,3223 
서초구,방배본동,2977 ,3282 
서초구,방배1동,3187 ,3343 
서초구,방배2동,3260 ,3815 
서초구,방배3동,2773 ,3777 
서초구,방배4동,3984 ,4044 
서초구,양재1동,5813 ,6921 
서초구,양재2동,3958 ,4429 
서초구,내곡동,2528 ,2896 
서초구,내곡동,2528 ,2896 
강남구,신사동,2409 ,2951 
강남구,논현1동,5719 ,5854 
강남구,논현2동,4897 ,4806 
강남구,삼성1동,2498 ,3804 
강남구,삼성2동,5500 ,5874 
강남구,대치1동,3282 ,3642 
강남구,대치4동,5172 ,5247 
강남구,역삼1동,10921 ,11099 
강남구,역삼2동,7124 ,7104 
강남구,도곡1동,3325 ,3731 
강남구,도곡2동,4495 ,4931 
강남구,개포1동,713 ,935 
강남구,개포4동,7244 ,2950 
강남구,일원본동,2676 ,3162 
강남구,일원1동,2023 ,2580 
강남구,일원2동,2265 ,2732 
강남구,수서동,1840 ,2402 
강남구,세곡동,5661 ,6291 
강남구,압구정동,3771 ,4094 
강남구,청담동,4519 ,7359 
강남구,대치2동,5975 ,6857 
강남구,개포2동,3296 ,3177 
강남구,개포2동,3296 ,3177 
송파구,풍납1동,1583 ,2379 
송파구,풍납2동,4544 ,4178 
송파구,거여1동,2040 ,2170 
송파구,거여2동,4954 ,2568 
송파구,마천1동,2411 ,3144 
송파구,마천2동,2517 ,2936 
송파구,방이1동,2419 ,2640 
송파구,방이2동,6370 ,5772 
송파구,오륜동,1930 ,2288 
송파구,오금동,5389 ,6795 
송파구,송파1동,4653 ,5515 
송파구,송파2동,3027 ,3091 
송파구,석촌동,5792 ,6943 
