no,name,routename,lat,lng,address,telno
2740,숭실대입구,서울 도시철도 7호선,37.4961804,126.9534722,서울특별시 동작구 상도로 지하 378,02-6311-7381
2741,상도,서울 도시철도 7호선,37.50285237,126.9477417,서울특별시 동작구 상도로 지하272(상도1동),02-6311-7392
2742,장승배기,서울 도시철도 7호선,37.50482108,126.9388623,서울특별시 동작구 상도로 지하188(상도동),02-6311-7401
2743,신대방삼거리,서울 도시철도 7호선,37.49968797,126.9280519,서울특별시 동작구 상도로 지하76 (대방동),02-6311-7411
2744,보라매,서울 도시철도 7호선,37.49989004,126.9203052,서울특별시 동작구 상도로 지하2(대방동),02-6311-7421
2745,신풍,서울 도시철도 7호선,37.50008919,126.9098598,서울특별시 영등포구 신풍로 지하27(신길동),02-6311-7431
2746,대림,서울 도시철도 7호선,37.49307207,126.8959105,서울특별시 영등포구 도림로 지하137,02-6311-7441
2747,남구로,서울 도시철도 7호선,37.48613283,126.8873355,서울특별시 구로구 도림로 지하7(구로동),02-6311-7451
2748,가산디지털단지,서울 도시철도 7호선,37.48121776,126.8825816,서울특별시 금천구 벚꽃로 309 (가산동),02-6311-7461
2749,철산,서울 도시철도 7호선,37.47611739,126.8680062,경기도 광명시 철산로 지하13 (철산동),02-6311-7471
2750,광명사거리,서울 도시철도 7호선,37.47941898,126.8547278,경기도 광명시 오리로 지하980(광명동),02-6311-7481
2751,천왕,서울 도시철도 7호선,37.48661459,126.8386245,서울특별시 구로구 오리로 지하1154(오류동),02-6311-7491
2752,온수,서울 도시철도 7호선,37.49215924,126.8237047,서울특별시 구로구 경인로3길 지하64 (온수동),02-6311-7501
2753,까치울,서울 도시철도 7호선,37.50632983,126.8113309,경기도 부천시 길주로 626,02-6311-7511
2754,부천종합운동장,서울 도시철도 7호선,37.50544153,126.7972468,경기도 부천시 길주로 지하 502,02-6311-7521
2756,신중동,서울 도시철도 7호선,37.50308369,126.776328,경기도 부천시 길주로 314,02-6311-7541
2757,부천시청,서울 도시철도 7호선,37.50454132,126.7637332,경기도 부천시 길주로 202,02-6311-7551
2758,상동,서울 도시철도 7호선,37.50570416,126.7529908,경기도 부천시 길주로 104,02-6311-7561
2759,삼산체육관,서울 도시철도 7호선,37.50636043,126.7417749,인천광역시 부평구 길주로 지하713 (삼산동),02-6311-7571
2760,굴포천,서울 도시철도 7호선,37.50708334,126.7311071,인천광역시 부평구 길주로 지하623 (삼산동),02-6311-7581
2761,부평구청,서울 도시철도 7호선,37.50795782,126.7211284,인천광역시 부평구 길주로 지하527(갈산동),02-6311-7591
2811,암사,서울 도시철도 8호선,37.54997529,127.1274183,서울특별시 강동구 올림픽로 지하776 (암사동),02-6311-8101
2812,천호,서울 도시철도 8호선,37.53842355,127.1236234,서울특별시 강동구 천호대로 지하997 (천호동),02-6311-5471
2813,강동구청,서울 도시철도 8호선,37.53047081,127.1202691,서울특별시 강동구 올림픽로 지하550 (성내동),02-6311-8121
2814,몽촌토성,서울 도시철도 8호선,37.51742473,127.1123921,서울특별시 송파구 올림픽로 지하383,02-6311-8131
2815,잠실,서울 도시철도 8호선,37.51386481,127.1024965,서울특별시 송파구 올림픽로 지하 265 (잠실동),02-6311-8141
2816,석촌,서울 도시철도 8호선,37.50535113,127.1069303,서울특별시 송파구 송파대로 지하439(석촌동),02-6311-8151
2817,송파,서울 도시철도 8호선,37.4997227,127.1118647,서울특별시 송파구 송파대로 지하354 (가락동),02-6311-8161
2818,가락시장,서울 도시철도 8호선,37.49292332,127.1180741,서울특별시 송파구 송파대로 지하 257 (가락동),02-6311-8171
2819,문정,서울 도시철도 8호선,37.4859849,127.1222272,서울특별시 송파구 송파대로 지하179 (문정동),02-6311-8181
2820,장지,서울 도시철도 8호선,37.47839756,127.1260529,서울특별시 송파구 송파대로 지하82(장지동),02-6311-8191
2821,복정,서울 도시철도 8호선,37.47008981,127.1264714,서울특별시 송파구 송파대로 지하6 (장지동),02-6311-8201
2822,산성,서울 도시철도 8호선,37.45668074,127.1498131,경기도 성남시 수정구 수정로 지하365(신흥동),02-6311-8211
2823,남한산성입구,서울 도시철도 8호선,37.45156254,127.1597963,경기도 성남시 수정구 산성대로 지하 445,02-6311-8221
2824,단대오거리,서울 도시철도 8호선,37.44512808,127.1566517,경기도 성남시 수정구 산성대로 지하365 (신흥동),02-6311-8231
2825,신흥,서울 도시철도 8호선,37.44088706,127.1473884,경기도 성남시 수정구 산성대로 지하280 (신흥동),02-6311-8241
